it, train, val, acc 
4557, 0.429199, 0.380519, 0.742188 
4588, 0.415818, 0.411078, 0.804688 
4619, 0.446353, 0.395902, 0.718750 
4650, 0.406736, 0.373118, 0.773438 
4681, 0.421063, 0.389936, 0.773438 
4712, 0.420034, 0.382378, 0.757812 
4743, 0.411786, 0.390710, 0.757812 
4774, 0.403904, 0.379686, 0.789062 
4805, 0.407802, 0.371354, 0.695312 
4836, 0.378830, 0.403559, 0.765625 
4867, 0.399829, 0.364841, 0.695312 
4898, 0.400640, 0.402784, 0.757812 
4929, 0.400499, 0.382329, 0.757812 
4960, 0.414520, 0.375415, 0.710938 
4991, 0.417183, 0.390587, 0.773438 
5022, 0.410473, 0.412313, 0.679688 
5053, 0.379820, 0.397620, 0.656250 
5084, 0.386282, 0.342611, 0.671875 
5115, 0.448513, 0.361002, 0.648438 
5146, 0.394433, 0.362460, 0.734375 
5177, 0.384323, 0.338523, 0.648438 
5208, 0.390282, 0.381151, 0.757812 
5239, 0.426163, 0.344090, 0.656250 
5270, 0.427373, 0.360932, 0.640625 
5301, 0.430982, 0.362035, 0.648438 
5332, 0.397891, 0.370358, 0.703125 
5363, 0.397755, 0.404025, 0.625000 
5394, 0.372120, 0.365723, 0.664062 
5425, 0.412924, 0.353444, 0.656250 
5456, 0.408056, 0.350178, 0.679688 
5487, 0.397564, 0.393501, 0.664062 
5518, 0.366826, 0.403571, 0.585938 
5549, 0.401104, 0.360416, 0.593750 
5580, 0.400829, 0.352521, 0.742188 
5611, 0.357265, 0.340474, 0.671875 
5642, 0.399268, 0.365221, 0.695312 
5673, 0.352930, 0.336092, 0.695312 
5704, 0.393125, 0.385366, 0.656250 
5735, 0.415489, 0.352389, 0.585938 
5766, 0.364805, 0.332128, 0.585938 
5797, 0.377853, 0.382485, 0.578125 
5828, 0.374353, 0.338554, 0.578125 
5859, 0.381532, 0.363765, 0.664062 
5890, 0.391426, 0.367558, 0.632812 
5921, 0.361741, 0.355062, 0.585938 
5952, 0.385826, 0.335200, 0.531250 
5983, 0.316777, 0.358091, 0.554688 
6014, 0.376511, 0.347906, 0.562500 
6045, 0.346960, 0.366504, 0.648438 
6076, 0.333498, 0.345180, 0.609375 
6107, 0.382845, 0.366487, 0.609375 
6138, 0.348518, 0.338021, 0.562500 
6169, 0.342285, 0.353300, 0.531250 
6200, 0.360310, 0.310127, 0.601562 
6231, 0.402162, 0.359672, 0.593750 
6262, 0.385750, 0.306491, 0.601562 
6293, 0.360732, 0.347176, 0.468750 
6324, 0.353722, 0.333917, 0.531250 
6355, 0.358374, 0.353309, 0.593750 
6386, 0.384367, 0.390196, 0.578125 
6417, 0.323118, 0.332811, 0.531250 
6448, 0.350659, 0.347572, 0.539062 
6479, 0.355299, 0.326684, 0.554688 
6510, 0.392919, 0.320384, 0.546875 
6541, 0.383122, 0.337443, 0.546875 
6572, 0.319163, 0.371176, 0.617188 
6603, 0.356695, 0.334212, 0.523438 
6634, 0.364351, 0.323111, 0.500000 
6665, 0.333445, 0.323405, 0.468750 
6696, 0.340834, 0.313289, 0.507812 
